ANHO,MES,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,SECTOR,CATEGORIA,CO_IPRESS,RAZON_SOC,CA_CONSULTORIOS,CA_CONSULTORIOS_FN,CA_CAMAS,CA_MEDICOS_TOTAL,CA_MEDICOS_SERUM,CA_MEDICOS_RESIDENTES,CA_ENFERMERAS,CA_ODONTOLOGOS,CA_PSICOLOGOS,CA_NUTRICIONISTAS,CA_TECNOLOGOS_MEDICOS,CA_OBSTETRICES,CA_FARMACEUTICOS,CA_AUXILIARES,CA_OTROS_PROF,CA_AMBULANCIAS
2018,12,50601,AYACUCHO,LUCANAS,PUQUIO,GOBIERNO REGIONAL,II-1,3727,"HOSPITAL DE APOYO DE PUQUIO ""FELIPE HUAMÁN POMA DE AYALA""",15,24,50,25,0,0,26,6,3,2,1,19,3,57,11,2
2018,4,150107,LIMA,LIMA,CHACLACAYO,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,11227,POSTA MEDICA PNP CHACLACAYO,1,1,0,0,0,0,1,1,0,0,0,1,0,9,0,0
2018,5,150107,LIMA,LIMA,CHACLACAYO,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,11227,POSTA MEDICA PNP CHACLACAYO,1,1,0,0,0,0,1,1,0,0,0,1,0,9,0,0
2018,12,50201,AYACUCHO,CANGALLO,CANGALLO,GOBIERNO REGIONAL,I-1,3496,HUANCARUCMA,6,7,5,0,0,0,1,0,0,0,0,1,0,0,1,0
2018,12,50203,AYACUCHO,CANGALLO,LOS MOROCHUCOS,GOBIERNO REGIONAL,I-1,7302,SATICA,5,6,4,0,0,0,1,0,0,0,0,1,0,0,2,0
2018,12,50201,AYACUCHO,CANGALLO,CANGALLO,GOBIERNO REGIONAL,I-1,6607,CHICHUCANCHA,5,6,4,0,0,0,1,0,0,0,0,0,0,0,1,0
2018,12,50201,AYACUCHO,CANGALLO,CANGALLO,GOBIERNO REGIONAL,I-1,3506,INCARACCAY,6,6,6,0,0,0,1,0,0,0,0,0,0,0,2,0
2018,12,50203,AYACUCHO,CANGALLO,LOS MOROCHUCOS,GOBIERNO REGIONAL,I-1,17085,HUALLCHANCCA,6,5,5,0,0,0,1,0,0,0,0,1,0,0,0,1
2018,12,50203,AYACUCHO,CANGALLO,LOS MOROCHUCOS,GOBIERNO REGIONAL,I-1,17084,JUSCAYMARCA,5,6,5,0,0,0,0,0,0,0,0,1,0,0,1,0
2018,12,50203,AYACUCHO,CANGALLO,LOS MOROCHUCOS,GOBIERNO REGIONAL,I-3,3507,PAMPA CANGALLO,14,16,9,0,0,5,8,3,1,1,0,9,3,0,12,1
2018,12,51002,AYACUCHO,VICTOR FAJARDO,ALCAMENCA,GOBIERNO REGIONAL,I-1,3499,HUAMBO,5,6,5,0,0,0,1,0,0,0,0,1,0,0,1,0
2018,12,50201,AYACUCHO,CANGALLO,CANGALLO,GOBIERNO REGIONAL,I-1,3497,PUTICA,5,6,4,0,0,0,1,0,0,0,0,0,0,0,2,0
2018,12,50204,AYACUCHO,CANGALLO,MARIA PARADO DE BELLIDO,GOBIERNO REGIONAL,I-1,7303,ÑUÑUNHUAYCCO,6,5,5,1,1,0,1,0,0,0,0,1,0,0,1,0
2018,12,50203,AYACUCHO,CANGALLO,LOS MOROCHUCOS,GOBIERNO REGIONAL,I-2,3508,CHANQUIL,6,6,5,1,1,0,2,2,0,0,0,1,0,0,1,0
2018,12,50201,AYACUCHO,CANGALLO,CANGALLO,GOBIERNO REGIONAL,I-1,3495,HUAHUAPUQUIO,6,5,4,0,0,0,1,0,0,0,0,0,0,0,1,0
2018,12,51002,AYACUCHO,VICTOR FAJARDO,ALCAMENCA,GOBIERNO REGIONAL,I-1,3498,ALCAMENCA,6,4,5,0,0,0,1,0,0,0,0,0,0,0,1,0
2018,12,110101,ICA,ICA,ICA,PRIVADO,0,13697,SEÑOR DE LUREN,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0
2018,12,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,GOBIERNO REGIONAL,II-2,4317,HOSPITAL REGIONAL DOCENTE LAS MERCEDES,32,38,289,185,0,39,149,3,4,7,9,54,5,172,136,2
2018,12,100321,HUANUCO,DOS DE MAYO,SHUNQUI,GOBIERNO REGIONAL,I-2,846,SHUNQUI,4,4,0,1,1,0,1,0,0,0,0,2,0,0,4,1
2018,10,21901,ANCASH,SIHUAS,SIHUAS,ESSALUD,I-3,9203,CENTRO MEDICO SIHUAS,7,7,0,2,0,0,4,1,0,0,2,1,1,6,0,1
2018,9,100105,HUANUCO,HUANUCO,MARGOS,GOBIERNO REGIONAL,I-1,800,PACAYHUA,2,3,0,0,0,0,2,0,0,0,0,1,0,1,0,0
2018,9,100105,HUANUCO,HUANUCO,MARGOS,GOBIERNO REGIONAL,I-1,799,SAN FRANCISCO DE LLAMAPASHILLUM,2,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2018,9,100105,HUANUCO,HUANUCO,MARGOS,GOBIERNO REGIONAL,I-2,798,JESUS DE NAZARETH DE COCHAS,3,3,0,0,0,0,2,0,0,0,0,1,0,2,0,0
2018,9,100105,HUANUCO,HUANUCO,MARGOS,GOBIERNO REGIONAL,I-3,797,MARGOS,6,7,0,3,1,0,5,1,0,0,0,5,0,6,1,2
